num,X.MCZ148300.nts,Y.MCZ148300.nts,Z.MCZ148300.ply.nts,X.MCZ100867.nts,Y.MCZ100867.nts,Z.MCZ100867.nts,X.MCZ101646.nts,Y.MCZ101646.nts,Z.MCZ101646.nts,X.MCZ128574.nts,Y.MCZ128574.nts,Z.MCZ128574.nts,X.MCZ128578.nts,Y.MCZ128578.nts,Z.MCZ128578.nts,X.MCZ128954..2..nts,Y.MCZ128954..2..nts,Z.MCZ128954..2..nts,X.MCZ128954.nts,Y.MCZ128954.nts,Z.MCZ128954.nts,X.MCZ129188.nts,Y.MCZ129188.nts,Z.MCZ129188.nts,X.MCZ131476.nts,Y.MCZ131476.nts,Z.MCZ131476.nts,X.MCZ131477.nts,Y.MCZ131477.nts,Z.MCZ131477.nts,X.MCZ131481.nts,Y.MCZ131481.nts,Z.MCZ131481.nts,X.MCZ131756.nts,Y.MCZ131756.nts,Z.MCZ131756.nts,X.MCZ132026.nts,Y.MCZ132026.nts,Z.MCZ132026.nts,X.MCZ132093.nts,Y.MCZ132093.nts,Z.MCZ132093.nts,X.MCZ132479.nts,Y.MCZ132479.nts,Z.MCZ132479.nts,X.MCZ132536.nts,Y.MCZ132536.nts,Z.MCZ132536.nts,X.MCZ132630.nts,Y.MCZ132630.nts,Z.MCZ132630.nts,X.MCZ132795.nts,Y.MCZ132795.nts,Z.MCZ132795.nts,X.MCZ132798.nts,Y.MCZ132798.nts,Z.MCZ132798.nts,X.MCZ133541.nts,Y.MCZ133541.nts,Z.MCZ133541.nts,X.MCZ137920.nts,Y.MCZ137920.nts,Z.MCZ137920.nts,X.MCZ148312.nts,Y.MCZ148312.nts,Z.MCZ148312.nts,X.MCZ149522.nts,Y.MCZ149522.nts,Z.MCZ149522.nts,X.MCZ149616.nts,Y.MCZ149616.nts,Z.MCZ149616.nts,X.MCZ151699.nts,Y.MCZ151699.nts,Z.MCZ151699.nts,X.MCZ155490.nts,Y.MCZ155490.nts,Z.MCZ155490.nts,X.MCZ161555.nts,Y.MCZ161555.nts,Z.MCZ161555.nts,X.MCZ163121.nts,Y.MCZ163121.nts,Z.MCZ163121.nts,X.MCZ41125.nts,Y.MCZ41125.nts,Z.MCZ41125.nts,X.MCZ42864.nts,Y.MCZ42864.nts,Z.MCZ42864.nts,X.MCZ47693.nts,Y.MCZ47693.nts,Z.MCZ47693.nts,X.MCZ52845.nts,Y.MCZ52845.nts,Z.MCZ52845.nts,X.MCZ53252.nts,Y.MCZ53252.nts,Z.MCZ53252.nts,X.MCZ58801.nts,Y.MCZ58801.nts,Z.MCZ58801.nts,X.MCZ64832.nts,Y.MCZ64832.nts,Z.MCZ64832.nts,X.MCZ70492.nts,Y.MCZ70492.nts,Z.MCZ70492.nts,X.MCZ70497.nts,Y.MCZ70497.nts,Z.MCZ70497.nts,X.MCZ70579.nts,Y.MCZ70579.nts,Z.MCZ70579.nts,X.MCZ84812.nts,Y.MCZ84812.nts,Z.MCZ84812.nts,X.MCZ84817.nts,Y.MCZ84817.nts,Z.MCZ84817.nts,X.MCZ89460.nts,Y.MCZ89460.nts,Z.MCZ89460.nts,X.MCZ91007.nts,Y.MCZ91007.nts,Z.MCZ91007.nts,X.MCZ91008.nts,Y.MCZ91008.nts,Z.MCZ91008.nts
1,0.476194286,-0.362755313,-0.009560387,0.264676601,-0.344594517,-0.040572031,0.191825455,-0.233289044,-0.156418344,0.300289598,-0.200984329,-0.013023155,0.374388913,-0.224608548,-0.047193353,0.352874371,-0.108709815,-0.109015527,0.349448162,-0.113343219,-0.018979853,0.240088572,-0.330111919,-0.161635725,0.243178813,-0.143482968,-0.079491061,0.287122314,-0.328992897,-0.137837685,0.222723077,-0.434950221,-0.195821574,0.240899536,-0.199749219,0.031351995,0.192937676,-0.251726387,-0.177710669,0.333557556,-0.155883943,-0.022167257,0.173225435,-0.249558381,-0.114058655,0.226393209,-0.152152614,-0.119586287,0.140302645,-0.30648978,-0.285568931,0.283146924,-0.157706968,0.005071965,0.359113412,-0.150213022,-0.063460387,0.189276864,-0.321154596,0.057584232,-0.017371442,-0.236614702,-0.105322583,0.029809326,-0.128973445,-0.101426496,0.341431102,-0.178499191,0.014477212,0.201818351,-0.152027595,-0.015338346,0.231632307,-0.139956494,0.002042066,0.156163786,-0.187222071,-0.087954664,0.125117378,-0.040495798,-0.020824778,0.230428038,-0.112640884,0.001572877,0.30984153,-0.14430304,-0.041062994,0.166580672,-0.181699755,0.046274305,0.288752153,-0.223429671,-0.046385933,0.300095536,-0.13218201,-0.051883781,0.182196741,-0.350686514,-0.165917602,0.334447317,-0.154348316,-0.017715543,-0.074334626,-0.305740514,-0.01555036,0.188747111,-0.046771895,-0.056680305,0.299074696,-0.142754546,-0.024881878,0.260331779,-0.115989081,-0.105971838,0.221576217,-0.134880735,-0.031555835,0.212585401,-0.159146098,-0.02526195,0.340732592,-0.212086149,0.007628949,0.357408922,-0.144154104,-0.053669287,0.286641217,-0.140955521,0.00854782
2,0.178309402,-0.034279671,-0.01934039,0.426792247,0.114749779,-0.125147157,-0.012986336,0.204226977,0.064126993,0.283342017,0.07995447,-0.077272761,0.346742939,0.091729735,-0.016158474,0.322422485,-0.111240814,-0.069843416,0.369693559,-0.069899464,-0.105381426,-0.113853752,-0.037128702,0.00316294,0.19464296,0.144491773,0.046988691,-0.162798401,0.077425132,0.0420167,-0.072822801,0.21535585,0.035177428,0.108801224,0.201224567,-0.14026636,-0.000956877,0.068835609,-0.093809369,0.246030469,0.064162217,-0.071122972,0.003570581,-0.214832306,-0.105872852,-0.071784763,0.09693356,0.012461937,0.122240369,0.292052599,0.02471234,0.206811531,0.071710497,-0.0984575,0.365479037,0.044303756,0.012036902,-0.285535357,0.042771898,-0.1557859,0.095535376,0.001505605,-0.026458492,0.407160584,0.242447987,0.058803785,0.157216592,0.031504572,-0.076420454,0.377390977,0.073516595,-0.051576625,0.254774431,0.048240804,-0.070433382,0.072228655,-0.176805055,-0.127247038,0.423827556,0.100275263,-0.00038387,0.169163428,0.096535588,-0.244384752,0.235598671,0.087772909,-0.042008033,-0.230884156,0.01583236,-0.142439562,0.049253662,0.070749644,-0.047114812,0.245840723,0.03795213,-0.001355781,0.141329271,-0.13440146,-0.070953197,0.183730404,0.172525823,-0.049306376,0.123791393,0.039348134,-0.059555804,0.097844802,0.105002999,0.055330793,0.370885407,0.049119047,-0.029844219,0.06440264,0.170613247,0.177735015,0.309471334,0.081292851,-0.014358396,0.331836496,0.139555694,-0.028190522,0.270590081,-0.026290953,-0.074191711,0.281327988,0.05212085,0.020679967,0.19955063,0.053257264,-0.07350353
3,0.404814048,-0.158033281,0.073516608,0.053133956,-0.14914976,0.028896516,0.23299959,-0.34937547,0.015941696,0.449209553,-0.214166126,0.079828589,0.488774695,-0.306710998,0.068110713,0.25234983,-0.301374647,0.059416673,0.361189737,-0.189005992,0.082390225,0.315300964,-0.466500956,-0.020323019,0.169112767,-0.196439357,-0.029456174,0.395482756,-0.368209924,0.006454264,0.3572304,-0.304743617,0.042227843,0.425397735,-0.134029533,0.061609336,0.220255059,-0.371304969,-0.033982262,0.381029211,-0.162731382,0.075238637,0.293631099,-0.342666144,-0.026825706,0.203731695,-0.340519957,-0.063798101,0.28033168,-0.228564163,0.047931654,0.375374372,-0.115943017,0.084851754,0.398664262,-0.273363317,0.083565782,0.15257485,-0.10398028,0.080196092,0.131551986,-0.261749086,0.021262658,0.321238335,-0.104905607,0.085074689,0.316023686,-0.068661722,0.061616781,0.43598776,-0.289496579,0.065274076,0.331268947,-0.190994208,0.102513612,0.274031152,-0.274478186,-0.010255672,0.428935406,-0.188105679,0.060027204,0.437871662,-0.069200625,0.057641272,0.386628079,-0.181741382,0.102578919,0.11120135,-0.082045052,0.013954495,0.225064352,-0.191014536,0.112131649,0.292718327,-0.225667252,0.095040811,0.265461734,-0.18578971,0.053301607,0.306966923,-0.167210647,0.108279499,0.161596799,-0.309567774,0.031636122,0.17307033,-0.156402929,-0.092970575,0.4462421,-0.2398284,0.068342308,0.194720979,-0.218426031,-0.075841716,0.396009195,-0.256953091,0.087132585,0.447896756,-0.277566124,0.094298431,0.333409867,-0.198822208,0.086486357,0.352153889,-0.207828408,0.081541679,0.338871001,-0.134972518,0.087060745
4,-0.175435486,-0.005916271,-0.179700726,0.469255666,0.025256575,-0.108308983,0.194032067,0.488992807,0.053286471,-0.096941184,-0.006321597,-0.073662914,-0.203515116,-0.020631471,-0.128034685,-0.368665753,0.03771672,-0.120864933,-0.118158153,-0.133926665,-0.151832329,0.159461054,0.460723282,0.013685088,0.439130997,0.108633182,-0.052293468,0.095486813,0.525453693,-0.002600864,0.127735594,0.373746871,0.078299833,-0.063387459,0.079077008,-0.015443819,0.181773021,0.386886806,0.074039279,-0.048539168,-0.012828943,-0.042053151,0.148669023,0.410196685,-0.085441887,0.20050918,0.45839805,0.097830361,0.213559705,0.293788382,0.165574683,0.048012642,0.020839368,-0.046561617,-0.245591833,-0.034335544,-0.13006601,0.042301759,0.419729389,0.013248154,0.153989162,0.174723432,-0.143119661,-0.045774822,-0.155264451,-0.17870221,0.007756243,0.002012083,-0.056344742,-0.158060551,-0.012328302,-0.084977424,-0.069049908,-0.01528602,-0.064078935,0.112288009,0.354404814,-0.034132623,0.001926597,-0.048483946,-0.093538078,-0.055465264,-0.027237033,-0.149239096,-0.089546669,-0.012355812,-0.057540394,0.26801637,0.380899189,0.073999053,0.011055952,0.054251121,0.060933762,-0.14684253,-0.036674373,-0.018834318,0.093569658,0.367578499,-0.084579031,-0.17842597,0.098800553,-0.070655309,0.099409434,0.133350346,-0.208134967,0.358534605,0.183386364,0.105957681,-0.106603839,-0.040126655,-0.095723957,0.366869525,0.269461595,0.184147505,-0.166855809,0.036894427,-0.102788521,-0.252384022,0.018503907,-0.117635123,-0.113633612,-0.00047194,-0.074016754,-0.093743112,-0.018883431,-0.060755377,-0.020373288,-0.021307912,-0.06528363
5,0.309611012,-0.050347077,0.145817802,0.057099458,0.197113174,0.049805648,-0.080359986,0.156365741,0.114751705,0.102348251,0.186077456,0.017526812,-0.02337282,0.169972325,0.034865859,-0.013403099,0.336950604,0.173422473,0.020090115,0.227869875,0.046125201,-0.163294758,0.321718408,0.185811461,0.21938884,0.140346225,0.114120311,-0.18431765,0.160222673,0.203598422,-0.131519273,0.287302846,0.186138812,0.259091553,0.070050379,-0.028273961,-0.100623609,0.268517625,0.23675278,0.125843874,0.13996268,-0.018397182,-0.204349078,0.21724953,0.156878048,-0.033541541,0.10939563,0.098087127,-0.066913596,0.323770058,0.210696654,0.207846807,0.099523953,-0.036437303,0.025574474,0.215326908,0.028100639,0.31709933,0.085803862,0.073986751,0.57385734,0.369120588,0.01319087,0.416757959,0.177122603,0.172751796,0.183918586,0.076631969,-0.02095178,-0.027645682,0.147499514,-0.000612683,0.042145158,0.167019661,-0.016325762,-0.110964203,0.117274187,0.065299534,0.177150631,0.073985617,-0.023973092,0.381155195,0.169909276,-0.076652654,0.151729434,0.168410263,-0.033042953,0.245862432,-0.009279551,0.001892162,0.111007315,0.086855361,-0.048422499,0.091449778,0.240639505,0.001246395,-0.205997426,0.117151225,0.087881387,0.200841122,0.065956827,-0.092852196,0.449506986,0.488727899,-0.087044165,0.155174335,0.05216893,0.20274308,0.056928525,0.177636546,0.009431839,0.042062713,0.081115172,0.118354733,0.081213897,0.181870368,-0.006832315,0.10974795,0.165858957,0.012556691,-0.006187667,0.133448953,0.011919894,0.067931624,0.148482864,-0.000243309,0.154766741,0.108739929,-0.02034011
6,-0.093130973,0.020126181,-0.13656744,0.096523714,-0.195757981,0.019991255,0.165767422,-0.092079558,-0.061159909,0.136733634,-0.085626951,0.010773018,0.013557387,-0.076841725,0.015289301,0.006285721,-0.124188475,0.029355622,0.106516442,-0.096848336,0.02639514,0.187554272,-0.002188763,-0.017595773,0.235190877,-0.084786784,-0.054118902,0.197943262,-0.226529639,-0.105041159,0.087179935,-0.287350093,-0.147462818,0.380971221,-0.14100804,0.019151744,0.14098217,-0.029345619,0.005145735,0.274318285,-0.111388816,0.011670675,0.169413282,0.038871183,0.032079753,0.206365701,-0.048547835,-0.032901367,0.049435638,-0.343299105,-0.064126057,0.270348622,-0.059870749,-0.010255258,0.103365802,-0.144925063,0.018395902,0.471609463,-0.01676162,-0.074855714,0.296197368,-0.006796988,-0.008979579,-0.216130845,-0.171451908,-0.141796282,0.263912177,-0.079029689,-0.006121009,0.062706977,-0.088489928,0.082630853,0.197414368,-0.126742781,0.030374823,0.169006698,-0.01942506,0.020534711,0.004036978,-0.08128516,0.023301329,-0.004977302,-0.164262735,-0.005752413,0.245551604,-0.125296478,0.003062297,0.559877081,-0.002934083,0.044020806,0.299766661,-0.046495401,-0.016247853,0.168450756,-0.143225775,-0.004426831,0.188460716,-0.123090595,-0.042714919,0.237903693,-0.171706053,0.008957393,0.333364403,-0.053434358,-0.063679366,0.196239033,0.018574459,-0.040314992,0.096239462,-0.087129283,0.016438828,0.142437076,-0.11011546,-0.157802632,0.048467171,-0.099406021,0.037355661,-0.014927985,-0.105956817,0.012576524,0.079423766,-0.0382305,0.00081489,0.115729122,-0.075113271,-0.014471564,0.203272282,-0.080107051,0.004618237
7,0.193993381,0.134778409,0.256957918,-0.069094736,0.307637703,0.027597451,0.125442067,0.169470367,0.081228606,0.006108087,-0.002230275,0.036582601,0.00211885,0.11709246,0.007615997,0.175536506,0.356506352,-0.011838628,0.019167636,0.11491235,-0.000945655,0.065005971,0.318406678,0.099915428,0.014235059,0.250958125,0.145347017,0.073705101,0.238458345,0.113894948,0.052959607,0.318196514,0.147673018,0.046523251,-0.136435188,0.143221784,0.129149113,0.287084989,0.154268957,-0.000741799,-0.054321613,0.044628264,0.111007454,0.345226803,0.164034774,0.101378574,0.147443952,0.194589746,0.121735064,0.363200541,0.073986414,0.015454018,-0.100197179,0.111855839,0.009953663,0.097623551,-0.011421911,0.132721726,-0.015929195,0.101326164,0.120130412,0.37617501,0.331907505,0.181838148,0.212040775,0.270092807,0.021782816,-0.029193051,0.081092036,0.138595075,0.107611904,-0.038844811,0.084922757,0.043911862,-0.073096871,0.091108075,0.280371661,0.199165996,0.108419742,0.002104081,0.121745177,0.065361851,0.212112251,0.444208146,0.009677479,-0.046637901,0.046498075,0.107031174,-0.026108054,0.047219281,0.062996972,0.146985379,-0.035177255,0.105568018,0.086576901,-0.038510584,0.063739382,0.416328805,0.185552784,-0.021713496,-0.010721069,0.062724671,0.152796618,0.434630086,0.354163684,0.14952572,0.055808658,0.127383943,0.020262629,0.028427846,0.018452428,0.059144169,0.072401179,0.130229608,0.111137261,0.072140606,-0.022384791,0.12885791,0.078726377,0.037904229,0.076482829,0.147795966,-0.053494884,0.037807373,0.071732424,-0.004870904,0.053997282,-0.00299424,0.033527809
8,-0.270835156,-0.014950451,-0.098242852,-0.394128796,-0.082751906,-0.005409806,-0.456427237,-0.347881673,0.053990068,-0.52267072,0.041229631,-0.052415039,-0.471280613,0.018303123,-0.043889009,-0.487068154,-0.100185647,0.037424925,-0.522635156,0.030367746,-0.045893584,-0.408416801,-0.283477269,0.047578921,-0.640337915,-0.130420382,0.036566237,-0.349744335,-0.326506126,0.090693538,-0.390540114,-0.302517625,0.027092392,-0.580363734,-0.028021183,-0.097430201,-0.466104852,-0.381442744,-0.016887213,-0.561917135,-0.018008021,-0.072868321,-0.401390246,-0.32591975,-0.002239565,-0.476971923,-0.446089064,0.014594072,-0.486262554,-0.283322945,0.02020181,-0.57183545,0.00643419,-0.063740349,-0.519347497,0.028010483,-0.055776085,-0.639025747,-0.147140258,-0.108863065,-0.481122468,-0.238813833,-0.025719845,-0.540282991,-0.234091761,-0.139471699,-0.622286013,0.001217926,-0.058071654,-0.52532242,-0.047377617,-0.095137611,-0.594791947,-0.032775903,-0.138859824,-0.415221606,-0.414505739,0.028651044,-0.584950227,-0.079195706,-0.125993344,-0.643686214,-0.069762594,-0.065080787,-0.546534942,0.009329923,-0.046078376,-0.701933126,-0.154102656,-0.117291567,-0.6142908,-0.05057769,-0.071552865,-0.518122383,-0.016675829,-0.014326046,-0.356983737,-0.248059968,-0.005606646,-0.610422272,-0.018116764,-0.096830608,-0.417610273,-0.190078689,-0.046133104,-0.697630768,-0.178330981,-0.117837647,-0.516815647,0.003443541,-0.039847902,-0.608982559,-0.359911583,-0.064259789,-0.536893132,-0.090346718,-0.059833738,-0.524964891,-0.093711052,-0.078946847,-0.593050974,-0.015523009,-0.092480182,-0.552755515,0.00454767,-0.004369978,-0.617318203,-0.013441016,-0.073881012
9,-0.564344298,0.464407063,-0.140237493,-0.395037251,0.349443957,0.105627744,0.215740479,0.108941258,-0.209021475,-0.26140959,0.298753445,0.010933274,-0.153016545,0.313948551,0.036982225,0.20966673,0.285187065,0.026122007,-0.153489994,0.393761498,0.095614566,0.169835866,0.1244924,-0.159974989,-0.364012266,-0.068194938,-0.095471184,0.122749829,0.207857403,-0.191087474,0.147130698,0.172452302,-0.196798107,-0.410410803,0.213901528,-0.034610394,0.21230172,0.083428273,-0.226359771,-0.329055802,0.290838834,0.018061558,0.236982864,0.27055926,-0.087804489,0.225564168,0.180600107,-0.285905245,0.117996886,-0.037182793,-0.200627665,-0.370460205,0.269282384,-0.015610746,-0.147829488,0.344408869,0.030414695,0.005993273,0.323554934,-0.110099116,-0.33262259,-0.073221271,0.014798171,-0.133132673,0.306292114,-0.176595874,-0.247600842,0.347125471,-0.011321357,-0.151001529,0.416798407,0.043298023,-0.121395363,0.447630573,0.070562796,0.205359574,0.386735804,-0.079707233,-0.28079753,0.369978508,-0.082547963,-0.126062211,0.020078561,0.052253675,-0.273429742,0.300302093,0.009616248,-0.051719959,0.304557622,-0.115562249,-0.047374233,0.406107711,-0.004018661,-0.10837702,0.40783892,-0.004783409,0.164472871,0.310991034,-0.037554936,-0.083064214,0.337478623,0.013754907,-0.29326259,-0.074806918,0.166504336,-0.109280664,0.114823711,-0.390215892,-0.253832781,0.319854187,0.022586812,-0.022874229,0.174125163,-0.381218887,-0.060443448,0.375272902,0.041023694,-0.078960468,0.364925248,0.01326264,-0.052421594,0.443929095,0.072224135,-0.124387412,0.329859211,-0.009288987,-0.199899632,0.378474744,0.013195215
10,-0.459176216,0.006970411,0.10735696,-0.509220858,-0.221947027,0.047519362,-0.576033521,-0.105371406,0.043274188,-0.397009647,-0.096685723,0.060729576,-0.374397688,-0.082253452,0.072411426,-0.449998637,-0.270661343,-0.014179197,-0.431822348,-0.163887793,0.072507716,-0.451681388,-0.10593316,0.009375668,-0.510530131,-0.021104875,-0.032191468,-0.475629688,0.040821339,-0.020090689,-0.400077123,-0.037492825,0.023473172,-0.407522522,0.07498968,0.060689876,-0.509713422,-0.060933582,0.078542534,-0.420525491,0.020198987,0.077009748,-0.530760415,-0.14912688,0.069250581,-0.581644299,-0.00546183,0.084627759,-0.492425836,-0.073952794,0.007219097,-0.464699262,-0.034072481,0.069283214,-0.349381833,-0.12683662,0.088210473,-0.387016161,-0.266894133,0.123262402,-0.540145143,-0.104328756,-0.071559044,-0.421483021,-0.143216309,0.151269484,-0.422154349,-0.103108369,0.072044968,-0.354468959,-0.155706399,0.095284546,-0.356920748,-0.201047494,0.157301477,-0.554000139,-0.066350356,0.025645945,-0.403666531,-0.10877718,0.142187415,-0.453789182,-0.055531805,-0.014566269,-0.429515444,-0.055480576,0.057977211,-0.474031838,-0.245120022,0.147933277,-0.386232034,-0.253431917,0.095854465,-0.430781204,-0.218582217,0.037833542,-0.53624921,-0.170021317,0.080590553,-0.370263506,-0.152658977,0.133643562,-0.535258144,-0.162428212,-0.072206376,-0.512224504,-0.148259317,0.206603914,-0.412380553,-0.068642282,0.05504574,-0.498112095,0.036725799,0.174628,-0.403682687,-0.16588459,0.072241656,-0.359687147,-0.131190091,0.079435929,-0.335345287,-0.233749255,0.115109305,-0.441472879,-0.160763805,0.045447761,-0.39950803,-0.14669368,0.086058456
